apprisk,type,tz,time,appcat,action,proto,dstserver,filesize,srcmac,sentpkt,app,msg,dstport,subtype,cloudaction,trandisp,sentdelta,srcintfrole,transip,srcintf,durationdelta,appid,sessionid,rcvdpkt,incidentserialno,srcserver,direction,masterdstmac,filename,clouduser,logid,dstintf,dstintfrole,rcvddelta,utmaction,policytype,parameters,mastersrcmac,srcport,transport,sentbyte,poluuid,vd,dstmac,duration,dstip,srcip,srccountry,dstcountry,rcvdpktdelta,rcvdbyte,level,sentpktdelta,policyid,devname,applist,service,countapp,devid,date,eventtype,eventtime
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61397,,206427957,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,43713,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092051732986
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61397,,206427958,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,43713,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092051855277
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,4,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,others,,,undefined,,port7,,25873,61399,,206427963,,outgoing,,00 01 00 00,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,36305,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092052862916
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,6,,,Modbus_Func04.Read.Input.Validation,Operational.Technology: Modbus_Func04.Read.Input.Validation,502,app-ctrl,others,,,undefined,,port7,,48884,61399,,206427964,,outgoing,,"UnitID=11,Ref=1-0,Data=00 00",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:11, Address:1, Address:0",,36305,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092052953160
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61399,,206427965,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,36305,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092053033072
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61399,,206427966,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,36305,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092053156433
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,4,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,others,,,undefined,,port7,,25873,61401,,206427971,,outgoing,,00 01 00 00,192.168.100.2,1059028704,port7,undefined,,,sniffer,,,45881,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092054212000
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,6,,,Modbus_Func04.Read.Input.Validation,Operational.Technology: Modbus_Func04.Read.Input.Validation,502,app-ctrl,others,,,undefined,,port7,,48884,61401,,206427972,,outgoing,,"UnitID=13,Ref=1-0,Data=00 00",192.168.100.2,1059028704,port7,undefined,,,sniffer,"UnitID:13, Address:1, Address:0",,45881,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092054313133
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61401,,206427973,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,45881,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092054421659
elevated,utm,-0700,21:18:12,Operational.Technology,pass,6,,,,,Modbus_Read.Input.Registers,Operational.Technology: Modbus_Read.Input.Registers,502,app-ctrl,,,,undefined,,port7,,25873,61401,,206427974,,outgoing,,,,1059028704,port7,undefined,,,sniffer,,,45881,,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,root,,,192.168.100.3,192.168.100.2,Reserved,Reserved,,,information,,4,FGDIT,sniffer-profile,MODBUS,,FGVM02TM24011031,2024-09-07,signature,1725769092054549543
